"Timestamp","Age","Gender","Year of Study","Discipline/Field","What is your anxiety level before exams or academic presentations?","How often do you feel depressed during your studies?","How do you rate your self-esteem while handling academic challenges?","I experience physical symptoms (headache, stomachache) before exams or presentations","I push myself to meet the deadlines even when it negatively affects my sleep quality or health","How supportive are your family and friends in your studies?","How often do you feel pressured by your classmates or peers about your academic performance?","Background noise distracts me during study.","Poor lighting in my room or home study area makes my living conditions for studying harder.","Lack of basic needs (water, electricity, and internet) causes me stress during studies.","How heavy is your study load when maintaining a CGPA?","I feel my relationship with teachers is affected by my lower grades.","I worry that low grades may negatively affect my future career."
"2025/09/13 9:31:49 pm GMT+5","20 - 22","Female","Second Year","IT/CS/Software/AI","2","3","1","1","3","3","2","3","0","0","2","1","1"
"2025/09/13 11:17:19 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","2","2","2","2","2","2","1","2","1","2","2","3","3"
"2025/09/14 1:11:59 am GMT+5","20 - 22","Male","Second Year","Natural Sciences/Social Sciences","1","1","1","0","1","2","1","1","1","3","3","0","2"
"2025/09/14 1:43:31 pm GMT+5","20 - 22","Female","Second Year","IT/CS/Software/AI","1","2","1","2","3","2","1","3","2","3","2","1","1"
"2025/09/14 1:46:03 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","0","0","0","0","3","0","3","3","3","3","3","3"
"2025/09/16 7:49:43 pm GMT+5","20 - 22","Male","Third Year","Business Administration","1","0","2","1","3","3","0","0","0","1","1","0","0"
"2025/09/18 11:15:37 pm GMT+5","20 - 22","Male","Fourth Year","IT/CS/Software/AI","1","2","1","2","3","3","1","1","2","0","1","2","2"
"2025/09/18 11:22:40 pm GMT+5","20 - 22","Male","Fourth Year","IT/CS/Software/AI","3","2","1","0","3","2","1","0","2","1","3","3","3"
"2025/09/19 12:00:06 am GMT+5","20 - 22","Male","First Year","IT/CS/Software/AI","2","1","2","1","1","3","2","2","1","2","3","2","1"
"2025/09/19 11:35:27 am GMT+5","17 - 20","Male","Third Year","Natural Sciences/Social Sciences","1","2","3","2","1","1","1","2","2","2","2","2","2"
"2025/09/19 2:21:41 pm GMT+5","17 - 20","Male","Second Year","IT/CS/Software/AI","0","2","2","1","3","2","2","3","3","3","3","3","3"
"2025/09/19 2:25:06 pm GMT+5","17 - 20","Female","Second Year","IT/CS/Software/AI","1","2","0","2","0","1","1","1","0","0","1","1","3"
"2025/09/19 2:31:00 pm GMT+5","17 - 20","Male","Second Year","IT/CS/Software/AI","1","2","1","0","3","3","1","3","3","3","2","3","3"
"2025/09/19 2:35:01 pm GMT+5","17 - 20","Male","Second Year","IT/CS/Software/AI","1","2","2","1","2","2","2","3","2","3","2","3","3"
