Feature,SHAP_Importance,SHAP_Mean_Effect,BuiltIn_Importance
depression,0.6552422991082247,0.012178613887687088,0.6107424517541679
anxiety_level,0.3675690925968463,-0.05238102377675707,0.25844499144760674
self_esteem,0.2354045103433732,-0.01928741444674749,0.09175046632952519
future_career_concerns,0.048834156557770465,0.0034815454036068658,0.026110104107860736
social_support,0.02242827610111323,0.013860050391762756,0.004274844844251561
basic_needs,0.008908851757541695,0.001323958737303038,0.004240794200649121
peer_pressure,0.008639155404677459,-0.004247804813340931,0.001082206126177265
sleep_quality,0.006688780401902779,-0.00046034240920062654,0.0024429509307028773
study_load,0.004371230423702254,-8.619487415443664e-05,0.0009111902590585599
